행정구,카페 수,20대 인구,30대 인구,40대 인구 ,50대 인구,파생변수1(이용*평균 잔),1달 평균 하루 생활인구,거주인구,폐합성수지(플라스틱) 발생량(톤/년),생활폐기물 전체 발생량(톤/년)
중랑구,446 ,29962 ,43232 ,48719 ,53382 ,42900 ,360938.9488 ,361832 ,5878.877164 ,120604.40 
중구,836 ,11258 ,15765 ,16101 ,16722 ,14803 ,275760.8526 ,116213 ,842.296559 ,109775.00 
종로구,943 ,15382 ,16067 ,18502 ,19565 ,17148 ,285889.2470 ,135899 ,3002.574348 ,92175.30 
은평구,534 ,37779 ,52372 ,63016 ,65009 ,53451 ,447893.9450 ,443635 ,7048.789990 ,124746.20 
용산구,652 ,19715 ,28766 ,30188 ,29314 ,26768 ,298552.5689 ,201642 ,3942.404171 ,95185.40 
영등포구,816 ,32796 ,51361 ,49425 ,47915 ,45183 ,506837.5943 ,343648 ,4480.075078 ,136697.20 
양천구,542 ,34737 ,44164 ,64173 ,60347 ,49681 ,385477.0505 ,405650 ,6606.264859 ,134415.50 
송파구,1032 ,57688 ,83640 ,96430 ,91695 ,81324 ,756477.3442 ,628312 ,10152.611470 ,214239.90 
성북구,634 ,40581 ,44790 ,53170 ,52407 ,47185 ,428904.6609 ,371809 ,7780.554745 ,120302.20 
성동구,598 ,29247 ,39982 ,43176 ,42964 ,38427 ,362219.8256 ,292253 ,4854.866319 ,92030.30 
서초구,1131 ,36836 ,50015 ,64584 ,56336 ,51301 ,564861.3993 ,480386 ,10022.581860 ,169013.60 
서대문구,657 ,32575 ,35489 ,41424 ,41645 ,37345 ,384039.9253 ,293461 ,5309.152033 ,93661.30 
마포구,1309 ,38483 ,52129 ,53844 ,47662 ,48025 ,465196.8282 ,340366 ,4655.688008 ,129274.70 
동작구,499 ,41664 ,49442 ,50572 ,50686 ,47845 ,404818.1586 ,366446 ,7665.734307 ,111144.50 
동대문구,461 ,34872 ,39493 ,43861 ,44336 ,40244 ,380022.5211 ,316240 ,11349.980400 ,147944.50 
도봉구,342 ,22807 ,30288 ,37618 ,41942 ,32277 ,277678.3030 ,297513 ,1988.511366 ,89979.10 
노원구,532 ,41873 ,48701 ,64018 ,63400 ,53459 ,514731.8531 ,455022 ,6417.034411 ,137558.30 
금천구,410 ,20147 ,28273 ,30240 ,33766 ,27582 ,237066.6009 ,230640 ,2644.230240 ,76699.30 
구로구,538 ,33249 ,48668 ,52083 ,55891 ,46683 ,423091.0342 ,393939 ,4334.128884 ,116334.70 
광진구,710 ,37168 ,45125 ,47126 ,45123 ,43469 ,388532.5850 ,321177 ,9519.838999 ,113683.80 
관악구,584 ,65225 ,71394 ,60869 ,58767 ,64703 ,501075.5946 ,456028 ,6534.109698 ,134559.30 
강서구,986 ,54069 ,83709 ,90328 ,84202 ,77422 ,557235.1297 ,603659 ,5990.558498 ,165988.10 
강북구,307 ,23237 ,29596 ,34700 ,39101 ,30926 ,300797.1813 ,274787 ,2584.145151 ,85068.50 
강동구,678 ,30129 ,43258 ,51306 ,50423 ,43060 ,517634.4023 ,349805 ,7648.314494 ,129754.40 
강남구,1965 ,48446 ,62541 ,81547 ,69464 ,64816 ,815774.8093 ,480386 ,10070.331600 ,236784.50 
