행정구,카페이름,지번주소,도로명코드,도로명,도로명 주소,경도,위도
서초구,할리스커피남부터미널,서울특별시 서초구 서초동 1623-10,1.17E+11,서울특별시 서초구 서초중앙로,서울특별시 서초구 서초중앙로 52,127.0157388,37.4867237
서초구,회화나무로스터스,서울특별시 서초구 우면동 687,1.17E+11,서울특별시 서초구 성촌1길,서울특별시 서초구 성촌1길 12,127.0221308,37.46565598
서초구,이디야커피양재AT점,서울특별시 서초구 양재동 326-9,1.17E+11,서울특별시 서초구 동산로,서울특별시 서초구 동산로 3,127.0402645,37.4690755
서초구,스타벅스남부터미널2점,서울특별시 서초구 서초동 1457-1,1.17E+11,서울특별시 서초구 효령로,서울특별시 서초구 효령로 274,127.0141978,37.48438612
서초구,CAFEWONDER카페원더,서울특별시 서초구 양재동 7-1,1.17E+11,서울특별시 서초구 바우뫼로41길,서울특별시 서초구 바우뫼로41길 88,127.0398774,37.48431827
서초구,오토카페,서울특별시 서초구 방배동 528-97,1.17E+11,서울특별시 서초구 효령로,서울특별시 서초구 효령로 33,126.9881261,37.47831786
서초구,에스프레사멘테일리부띠크모나코점,서울특별시 서초구 서초동 1316-5,1.17E+11,서울특별시 서초구 서초대로,서울특별시 서초구 서초대로 397,127.0244987,37.49742881
서초구,CAFEMERCI,서울특별시 서초구 서초동 1550-11,1.17E+11,서울특별시 서초구 서초대로46길,서울특별시 서초구 서초대로46길 38,127.0103478,37.49080549
서초구,티티까페,서울특별시 서초구 잠원동 50-2,1.17E+11,서울특별시 서초구 잠원로14길,서울특별시 서초구 잠원로14길 29,127.015432,37.51784354
서초구,더테라스,서울특별시 서초구 잠원동 58-24,1.17E+11,서울특별시 서초구 나루터로4길,서울특별시 서초구 나루터로4길 61,127.013448,37.50958236
서초구,할리스,서울특별시 서초구 방배동 981-7,1.17E+11,서울특별시 서초구 방배로9길,서울특별시 서초구 방배로9길 23,126.9968837,37.48036585
서초구,북해빙수,서울특별시 서초구 반포동 19-3,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 176,127.0023932,37.50393001
서초구,스타벅스,서울특별시 서초구 방배동 907-1,1.17E+11,서울특별시 서초구 방배로,서울특별시 서초구 방배로 114,126.9960731,37.48433262
서초구,신사장,서울특별시 서초구 잠원동 15-8,1.17E+11,서울특별시 서초구 나루터로,서울특별시 서초구 나루터로 65,127.0168649,37.51554878
서초구,스타벅스,서울특별시 서초구 잠원동 70-1,1.17E+11,서울특별시 서초구 잠원로,서울특별시 서초구 잠원로 69,127.006958,37.51024881
서초구,coffee34thST.,서울특별시 서초구 방배동 1018-1,1.17E+11,서울특별시 서초구 효령로34길,서울특별시 서초구 효령로34길 79,127.0008691,37.4791021
서초구,카페보니또,서울특별시 서초구 반포동 709-8,1.17E+11,서울특별시 서초구 사평대로55길,서울특별시 서초구 사평대로55길 123,127.0203301,37.50919812
서초구,우리집젤라또,서울특별시 서초구 방배동 789-39,1.17E+11,서울특별시 서초구 동광로,서울특별시 서초구 동광로 25,126.9856461,37.49115464
서초구,커피빈,서울특별시 서초구 반포동 1141,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 23,126.9872107,37.50173741
서초구,스타벅스,서울특별시 서초구 반포동 118-3,1.17E+11,서울특별시 서초구 사평대로,서울특별시 서초구 사평대로 205,127.0078261,37.50448036
서초구,빽다방서초우성점,서울특별시 서초구 서초동 1329-9,1.17E+11,서울특별시 서초구 사임당로,서울특별시 서초구 사임당로 181,127.0293055,37.4930262
서초구,카페난난,서울특별시 서초구 반포동 19-3,1.17E+11,서울특별시 서초구 신반포로,서울특별시 서초구 신반포로 176,127.0023932,37.50393001
서초구,커피주네,서울특별시 서초구 방배동 750-11,1.17E+11,서울특별시 서초구 사평대로2길,서울특별시 서초구 사평대로2길 10,126.9861991,37.49792629
서초구,모짜르트카페,서울특별시 서초구 서초동 700,1.17E+11,서울특별시 서초구 남부순환로,서울특별시 서초구 남부순환로 2406,127.0098083,37.47770863
서초구,카페다디오,서울특별시 서초구 방배동 3001-1,1.17E+11,서울특별시 서초구 동작대로,서울특별시 서초구 동작대로 108,126.9826288,37.4860017
서초구,카페후르티바,서울특별시 서초구 서초동 1706-3,1.17E+11,서울특별시 서초구 법원로3길,서울특별시 서초구 법원로3길 6-9,127.0091833,37.49421073
서초구,PAULSCOFFEE,서울특별시 서초구 서초동 1544-12,1.17E+11,서울특별시 서초구 반포대로22길,서울특별시 서초구 반포대로22길 7,127.0098542,37.48879201
