분류,사업장명,상세주소,위도,경도
대형점포,무지개종합상가,서울특별시 서초구 효령로 391,37.4890431,127.0299475
대형점포,터미널상가,서울특별시 서초구 신반포로 194,37.5099195,127.0189443
대형점포,킴스클럽,서울특별시 서초구 잠원로 69,37.5192259,127.0142778
대형점포,(주)이마트 양재점,서울특별시 서초구 매헌로 16,37.46243255,127.0369262
대형점포,신세계백화점 강남점,서울특별시 서초구 신반포로 176,37.50500645,127.0042355
대형점포,엘루체,서울특별시 서초구 신반포로 23,37.5099195,127.0189443
대형점포,무지개쇼핑,서울특별시 서초구 사임당로 151,37.49223635,127.0259132
대형점포,롯데슈퍼 방배2점,서울특별시 서초구 방배로33길 29,37.4918948,126.990054
대형점포,뉴코아백화점,서울특별시 서초구 잠원로 37-6,37.5082464,127.0057112
대형점포,뉴코아아울렛,서울특별시 서초구 잠원로 51,37.5192259,127.0142778
대형점포,롯데쇼핑(주)롯데슈퍼 방배점,서울특별시 서초구 방배중앙로 198,37.4980529,126.9850847
대형점포,국제전자도매센타,서울특별시 서초구 효령로 304,37.48484455,127.0178303
대형점포,반포프라자,서울특별시 서초구 신반포로3길 8,37.5031669,126.9861022
대형점포,신동아종합상가,서울특별시 서초구 사임당로 130,37.4927095,127.029035
대형점포,대림상가,서울특별시 서초구 나루터로 32,37.5147005,127.0105924
대형점포,서초쇼핑,서울특별시 서초구 고무래로 90-7,37.5002327,127.0173489
대형점포,한양스토아,서울특별시 서초구 서초중앙로 220,37.5031307,127.0112106
대형점포,방배종합시장,서울특별시 서초구 방배천로16길 18,37.4819478,126.9837912
대형점포,이수시장,서울특별시 서초구 방배로33길 29,37.4918948,126.990054
대형점포,신반포종합시장,서울특별시 서초구 신반포로15길 29,37.5041415,126.9945667
대형점포,신사쇼핑,서울특별시 서초구 나루터로 37,37.5147005,127.0105924
대형점포,대림서초리시온,서울특별시 서초구 서초중앙로22길 25,37.4938982,127.0179032
대형점포,아크로비스타 아케이드,서울특별시 서초구 서초중앙로 188,37.5031307,127.0112106
대형점포,하이브랜드,서울특별시 서초구 매헌로 16,37.46243255,127.0369262
대형점포,교보타워 지하아케이드,서울특별시 서초구 강남대로 465,37.50395515,127.0240414
대형점포,코스트코코리아,서울특별시 서초구 양재대로 159,37.4661185,127.043397
대형점포,반포프라자,서울특별시 서초구 신반포로3길 8,37.5031669,126.9861022
대형점포,롯데쇼핑(주) 롯데마트 서초점,서울특별시 서초구 서초대로38길 12,37.4902382,127.0067846
호텔,La TREE HOTEL(라 트리 호텔),서울특별시 서초구 나루터로 77,37.5147005,127.0105924
호텔,더리버사이드호텔,서울특별시 서초구 강남대로107길 6,37.5182375,127.0179585
호텔,스타일 호텔,서울특별시 서초구 방배중앙로 171,37.4980529,126.9850847
호텔,더케이호텔서울,서울특별시 서초구 바우뫼로12길 70,37.46616915,127.0328588
호텔,E 호텔,서울특별시 서초구 반포대로18길 40,37.4872731,127.0129866
호텔,제이에스(JS)호텔,서울특별시 서초구 반포대로28길 97,37.4906345,127.0095933
호텔,JW메리어트호텔서울,서울특별시 서초구 신반포로 176,37.50500645,127.0042355
호텔,두꺼비 호텔,서울특별시 서초구 반포대로30길 37,37.4922908,127.0113736
호텔,라바호텔,서울특별시 서초구 효령로53길 40,37.4860411,127.0135753
호텔,스테이호텔 서초,서울특별시 서초구 반포대로30길 35,37.4922908,127.0113736
호텔,더캘리포니아,서울특별시 서초구 효령로55길 10,37.486372,127.0142296
호텔,자스민호텔,서울특별시 서초구 효령로55길 59,37.486372,127.0142296
호텔,나인스 호텔,서울특별시 서초구 반포대로14길 51,37.4865349,127.0125747
호텔,에이치 호텔,서울특별시 서초구 효령로55길 51,37.486372,127.0142296
호텔,프로비스타 가족호텔,서울특별시 서초구 서초대로 338,37.4979255,127.0277141
호텔,티롤 관광호텔,서울특별시 서초구 나루터로 64,37.5147005,127.0105924
호텔,유원관광호텔,서울특별시 서초구 반포대로12길 29,37.484926,127.0125451
호텔,호텔소설,서울특별시 서초구 반포대로14길 53,37.4865349,127.0125747
호텔,Hotel Peyto(호텔 페이토),서울특별시 서초구 강남대로 259,37.5025214,127.0252759
호텔,신라스테이 서초,서울특별시 서초구 효령로 427,37.4890431,127.0299475
호텔,호텔 라리아,서울특별시 서초구 반포대로18길 62,37.4872731,127.0129866
호텔,업플로 호스텔,서울특별시 서초구 서초대로56길 18,37.4932165,127.0174313
호텔,토요코인 서울강남,서울특별시 서초구 강남대로 323,37.5025214,127.0252759
호텔,오라카이 청계산호텔,서울특별시 서초구 청계산로9길 1-7,37.4529134,127.0586449
호텔,준타워,서울특별시 서초구 강남대로 253,37.4859421,127.0328065
공원,양재시민의숲,서울특별시 서초구 매헌로 99,37.471225,127.035042
공원,문화예술공원,서울특별시 서초구 바우뫼로12길 40,37.467654,127.030517
공원,청계산도시자연공원,서울특별시 서초구 원지동 산 33,37.4224347,127.0424726
공원,인능산도시자연공원,서울특별시 서초구 내곡동 산12-404,37.4482109,127.0666632
공원,구룡산,서울특별시 서초구 염곡동 산25-1,37.4689473,127.061567
공원,우면산도시자연공원,서울특별시 서초구 우면동 산35-1,37.470484,127.0091324
대형학원,강남파고다외국어학원,서울특별시 서초구 강남대로 419,37.4997636,127.026135
대형학원,브리티쉬인터네셔널킨더가튼어학학원,서울특별시 서초구 반포대로4길 58,37.4819209,127.0150625
대형학원,해커스어학원,서울특별시 서초구 강남대로61길 23,37.4981776,127.0243996
대형학원,강남대성입시학원,서울특별시 서초구 서초대로52길 28,37.4922607,127.0147246
대형학원,현재어학학원,서울특별시 서초구 서초중앙로33길 14,37.5012701,127.0113085
대형학원,교대편입교대본원학원,서울특별시 서초구 서초중앙로 148,37.5031307,127.0112106
대형학원,이익훈어학2관학원,서울특별시 서초구 서초대로78길 36,37.4975349,127.0269768
대형학원,피에스에이어학학원,서울특별시 서초구 효령로 388,37.4890431,127.0299475
공연장/극장,서초문화예술회관 아트홀,서울특별시 서초구 강남대로 201 (양재동 서초구민회관),37.5025214,127.0252759
공연장/극장,국립국악원,서울특별시 서초구 남부순환로 2364 (서초동 국립국악원),37.4808763,127.0121532
공연장/극장,한국예술종합학교 이강숙홀,서울특별시 서초구 남부순환로 2374 (서초동),37.4808763,127.0121532
공연장/극장,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4802407,127.0144397
공연장/극장,SCC Hall 서초,서울특별시 서초구 남부순환로325길 9 (서초동디에스아이빌딩 3층402호),37.482653,127.0149731
공연장/극장,두리춤터(FOYER),서울특별시 서초구 동광로19길 15 (방배동),37.4957394,126.9875352
공연장/극장,두리춤터(Black Box),서울특별시 서초구 동광로19길 15 (방배동),37.4957394,126.9875352
공연장/극장,SCC 선 아트홀,서울특별시 서초구 동산로 44 (양재동),37.4696368,127.0414121
공연장/극장,모차르트 콘서트홀,서울특별시 서초구 명달로 104 (서초동),37.4803181,127.0056616
공연장/극장,영산양재홀,서울특별시 서초구 바우뫼로37길 45 (양재동),37.4804501,127.0386293
공연장/극장,흰물결예술극장,서울특별시 서초구 반포대로 144 (서초동),37.5048525,127.0013227
공연장/극장,흰물결 아트홀,서울특별시 서초구 반포대로 150 (서초동 흰물결아트센터),37.5048525,127.0013227
공연장/극장,페리지홀,서울특별시 서초구 반포대로 18 (주) KH바텍 사옥 지하2층 (서초동),37.5048525,127.0013227
공연장/극장,라율아트홀,서울특별시 서초구 반포대로 20 (서초동),37.5048525,127.0013227
공연장/극장,슈필렌 아트홀,서울특별시 서초구 반포대로 304 (잠원동),37.5048525,127.0013227
공연장/극장,리한아트홀,서울특별시 서초구 방배중앙로29길 21 (방배동),37.4964557,126.9845085
공연장/극장,씨어터 송,서울특별시 서초구 법원로3길 22 (서초동),37.4932032,127.0084843
공연장/극장,'롤리팝아트홀'홀로그램극장,서울특별시 서초구 본마을4길 3 (신원동),37.4530965,127.0562282
공연장/극장,반포심산아트홀,서울특별시 서초구 사평대로 55 (반포동 심산기념문화센터),37.5026528,127.016319
공연장/극장,서래아트홀,서울특별시 서초구 사평대로28길 70 (반포동 반포4동주민센터),37.4990959,127.0000948
공연장/극장,슬로우씨티(Slow City),서울특별시 서초구 서운로 162 (서초동),37.49786745,127.0240276
공연장/극장,메가박스중앙(주) 강남,서울특별시 서초구 서초대로77길 3 (서초동),37.49805275,127.0264464
공연장/극장,반포시네마 1관,서울특별시 서초구 신반포로 162  (반포동고속터미널 5층),37.5099195,127.0189443
공연장/극장,메가박스중앙(주) 센트럴 더부티크,서울특별시 서초구 신반포로 176 (반포동센트럴시티 지하1층),37.50500645,127.0042355
공연장/극장,반포시네마 2관,서울특별시 서초구 신반포로 194  (반포동고속버스터미널 5층),37.5099195,127.0189443
공연장/극장,서초아트센터,서울특별시 서초구 효령로 349-5 (서초동),37.4890431,127.0299475
